"","monthsSince1959","co2"
"1",0,315.42
"2",1,316.31
"3",2,316.5
"4",3,317.56
"5",4,318.13
"6",5,318
"7",6,316.39
"8",7,314.65
"9",8,313.68
"10",9,313.18
"11",10,314.66
"12",11,315.43
"13",12,316.27
"14",13,316.81
"15",14,317.42
"16",15,318.87
"17",16,319.87
"18",17,319.43
"19",18,318.01
"20",19,315.74
"21",20,314
"22",21,313.68
"23",22,314.84
"24",23,316.03
"25",24,316.73
"26",25,317.54
"27",26,318.38
"28",27,319.31
"29",28,320.42
"30",29,319.61
"31",30,318.42
"32",31,316.63
"33",32,314.83
"34",33,315.16
"35",34,315.94
"36",35,316.85
"37",36,317.78
"38",37,318.4
"39",38,319.53
"40",39,320.42
"41",40,320.85
"42",41,320.45
"43",42,319.45
"44",43,317.25
"45",44,316.11
"46",45,315.27
"47",46,316.53
"48",47,317.53
"49",48,318.58
"50",49,318.92
"51",50,319.7
"52",51,321.22
"53",52,322.08
"54",53,321.31
"55",54,319.58
"56",55,317.61
"57",56,316.05
"58",57,315.83
"59",58,316.91
"60",59,318.2
"61",60,319.41
"62",61,320.07
"63",62,320.74
"64",63,321.4
"65",64,322.06
"66",65,321.73
"67",66,320.27
"68",67,318.54
"69",68,316.54
"70",69,316.71
"71",70,317.53
"72",71,318.55
"73",72,319.27
"74",73,320.28
"75",74,320.73
"76",75,321.97
"77",76,322
"78",77,321.71
"79",78,321.05
"80",79,318.71
"81",80,317.66
"82",81,317.14
"83",82,318.7
"84",83,319.25
"85",84,320.46
"86",85,321.43
"87",86,322.23
"88",87,323.54
"89",88,323.91
"90",89,323.59
"91",90,322.24
"92",91,320.2
"93",92,318.48
"94",93,317.94
"95",94,319.63
"96",95,320.87
"97",96,322.17
"98",97,322.34
"99",98,322.88
"100",99,324.25
"101",100,324.83
"102",101,323.93
"103",102,322.38
"104",103,320.76
"105",104,319.1
"106",105,319.24
"107",106,320.56
"108",107,321.8
"109",108,322.4
"110",109,322.99
"111",110,323.73
"112",111,324.86
"113",112,325.4
"114",113,325.2
"115",114,323.98
"116",115,321.95
"117",116,320.18
"118",117,320.09
"119",118,321.16
"120",119,322.74
"121",120,323.83
"122",121,324.26
"123",122,325.47
"124",123,326.5
"125",124,327.21
"126",125,326.54
"127",126,325.72
"128",127,323.5
"129",128,322.22
"130",129,321.62
"131",130,322.69
"132",131,323.95
"133",132,324.89
"134",133,325.82
"135",134,326.77
"136",135,327.97
"137",136,327.91
"138",137,327.5
"139",138,326.18
"140",139,324.53
"141",140,322.93
"142",141,322.9
"143",142,323.85
"144",143,324.96
"145",144,326.01
"146",145,326.51
"147",146,327.01
"148",147,327.62
"149",148,328.76
"150",149,328.4
"151",150,327.2
"152",151,325.27
"153",152,323.2
"154",153,323.4
"155",154,324.63
"156",155,325.85
"157",156,326.6
"158",157,327.47
"159",158,327.58
"160",159,329.56
"161",160,329.9
"162",161,328.92
"163",162,327.88
"164",163,326.16
"165",164,324.68
"166",165,325.04
"167",166,326.34
"168",167,327.39
"169",168,328.37
"170",169,329.4
"171",170,330.14
"172",171,331.33
"173",172,332.31
"174",173,331.9
"175",174,330.7
"176",175,329.15
"177",176,327.35
"178",177,327.02
"179",178,327.99
"180",179,328.48
"181",180,329.18
"182",181,330.55
"183",182,331.32
"184",183,332.48
"185",184,332.92
"186",185,332.08
"187",186,331.01
"188",187,329.23
"189",188,327.27
"190",189,327.21
"191",190,328.29
"192",191,329.41
"193",192,330.23
"194",193,331.25
"195",194,331.87
"196",195,333.14
"197",196,333.8
"198",197,333.43
"199",198,331.73
"200",199,329.9
"201",200,328.4
"202",201,328.17
"203",202,329.32
"204",203,330.59
"205",204,331.58
"206",205,332.39
"207",206,333.33
"208",207,334.41
"209",208,334.71
"210",209,334.17
"211",210,332.89
"212",211,330.77
"213",212,329.14
"214",213,328.78
"215",214,330.14
"216",215,331.52
"217",216,332.75
"218",217,333.24
"219",218,334.53
"220",219,335.9
"221",220,336.57
"222",221,336.1
"223",222,334.76
"224",223,332.59
"225",224,331.42
"226",225,330.98
"227",226,332.24
"228",227,333.68
"229",228,334.8
"230",229,335.22
"231",230,336.47
"232",231,337.59
"233",232,337.84
"234",233,337.72
"235",234,336.37
"236",235,334.51
"237",236,332.6
"238",237,332.38
"239",238,333.75
"240",239,334.78
"241",240,336.05
"242",241,336.59
"243",242,337.79
"244",243,338.71
"245",244,339.3
"246",245,339.12
"247",246,337.56
"248",247,335.92
"249",248,333.75
"250",249,333.7
"251",250,335.12
"252",251,336.56
"253",252,337.84
"254",253,338.19
"255",254,339.91
"256",255,340.6
"257",256,341.29
"258",257,341
"259",258,339.39
"260",259,337.43
"261",260,335.72
"262",261,335.84
"263",262,336.93
"264",263,338.04
"265",264,339.06
"266",265,340.3
"267",266,341.21
"268",267,342.33
"269",268,342.74
"270",269,342.08
"271",270,340.32
"272",271,338.26
"273",272,336.52
"274",273,336.68
"275",274,338.19
"276",275,339.44
"277",276,340.57
"278",277,341.44
"279",278,342.53
"280",279,343.39
"281",280,343.96
"282",281,343.18
"283",282,341.88
"284",283,339.65
"285",284,337.81
"286",285,337.69
"287",286,339.09
"288",287,340.32
"289",288,341.2
"290",289,342.35
"291",290,342.93
"292",291,344.77
"293",292,345.58
"294",293,345.14
"295",294,343.81
"296",295,342.21
"297",296,339.69
"298",297,339.82
"299",298,340.98
"300",299,342.82
"301",300,343.52
"302",301,344.33
"303",302,345.11
"304",303,346.88
"305",304,347.25
"306",305,346.62
"307",306,345.22
"308",307,343.11
"309",308,340.9
"310",309,341.18
"311",310,342.8
"312",311,344.04
"313",312,344.79
"314",313,345.82
"315",314,347.25
"316",315,348.17
"317",316,348.74
"318",317,348.07
"319",318,346.38
"320",319,344.51
"321",320,342.92
"322",321,342.62
"323",322,344.06
"324",323,345.38
"325",324,346.11
"326",325,346.78
"327",326,347.68
"328",327,349.37
"329",328,350.03
"330",329,349.37
"331",330,347.76
"332",331,345.73
"333",332,344.68
"334",333,343.99
"335",334,345.48
"336",335,346.72
"337",336,347.84
"338",337,348.29
"339",338,349.23
"340",339,350.8
"341",340,351.66
"342",341,351.07
"343",342,349.33
"344",343,347.92
"345",344,346.27
"346",345,346.18
"347",346,347.64
"348",347,348.78
"349",348,350.25
"350",349,351.54
"351",350,352.05
"352",351,353.41
"353",352,354.04
"354",353,353.62
"355",354,352.22
"356",355,350.27
"357",356,348.55
"358",357,348.72
"359",358,349.91
"360",359,351.18
"361",360,352.6
"362",361,352.92
"363",362,353.53
"364",363,355.26
"365",364,355.52
"366",365,354.97
"367",366,353.75
"368",367,351.52
"369",368,349.64
"370",369,349.83
"371",370,351.14
"372",371,352.37
"373",372,353.5
"374",373,354.55
"375",374,355.23
"376",375,356.04
"377",376,357
"378",377,356.07
"379",378,354.67
"380",379,352.76
"381",380,350.82
"382",381,351.04
"383",382,352.69
"384",383,354.07
"385",384,354.59
"386",385,355.63
"387",386,357.03
"388",387,358.48
"389",388,359.22
"390",389,358.12
"391",390,356.06
"392",391,353.92
"393",392,352.05
"394",393,352.11
"395",394,353.64
"396",395,354.89
"397",396,355.88
"398",397,356.63
"399",398,357.72
"400",399,359.07
"401",400,359.58
"402",401,359.17
"403",402,356.94
"404",403,354.92
"405",404,352.94
"406",405,353.23
"407",406,354.09
"408",407,355.33
"409",408,356.63
"410",409,357.1
"411",410,358.32
"412",411,359.41
"413",412,360.23
"414",413,359.55
"415",414,357.53
"416",415,355.48
"417",416,353.67
"418",417,353.95
"419",418,355.3
"420",419,356.78
"421",420,358.34
"422",421,358.89
"423",422,359.95
"424",423,361.25
"425",424,361.67
"426",425,360.94
"427",426,359.55
"428",427,357.49
"429",428,355.84
"430",429,356
"431",430,357.59
"432",431,359.05
"433",432,359.98
"434",433,361.03
"435",434,361.66
"436",435,363.48
"437",436,363.82
"438",437,363.3
"439",438,361.94
"440",439,359.5
"441",440,358.11
"442",441,357.8
"443",442,359.61
"444",443,360.74
"445",444,362.09
"446",445,363.29
"447",446,364.06
"448",447,364.76
"449",448,365.45
"450",449,365.01
"451",450,363.7
"452",451,361.54
"453",452,359.51
"454",453,359.65
"455",454,360.8
"456",455,362.38
"457",456,363.23
"458",457,364.06
"459",458,364.61
"460",459,366.4
"461",460,366.84
"462",461,365.68
"463",462,364.52
"464",463,362.57
"465",464,360.24
"466",465,360.83
"467",466,362.49
"468",467,364.34
